transform,accuracy,n_images
clean,0.9074,25550
jpeg_q30,0.8765,25550
jpeg_q70,0.9063,25550
blur_sigma1.0,0.8634,25550
blur_sigma2.0,0.8389,25550
resize_0.5x,0.8671,25550
resize_0.25x,0.8421,25550
noise_sigma0.05,0.8980,25550
color_jitter,0.8973,25550
center_crop_80,0.8721,25550
